Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056209,0.9950340238561066,0.0,1,10,,0.0
1,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561066,0.0,1,10,,0.0
2,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056209,0.9950340238561066,0.0,1,10,,0.0
3,0.9923938412077217,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561068,0.0,1,10,,0.0
4,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561068,0.0,1,10,,0.0
5,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561066,0.0,1,10,,0.0
6,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561068,0.0,1,10,,0.0
7,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561066,0.0,1,10,,0.0
8,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056209,0.9950340238561066,0.0,1,10,,0.0
9,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056208,0.9950340238561066,0.0,1,10,,0.0
10,0.9923938412077214,0.0,0.0,0.0,0.0,0.9917313167056209,0.9950340238561068,0.0,1,10,,0.0
0,0.9247875754654341,0.0,0.0,0.0,0.0,0.9241170606367007,0.9593951932586049,0.0,1,15,,0.0
1,0.924787575465434,0.0,0.0,0.0,0.0,0.9241170606367007,0.9593951932586051,0.0,1,15,,0.0
2,0.9247875754654341,0.0,0.0,0.0,0.0,0.9241170606367006,0.9593951932586049,0.0,1,15,,0.0
3,0.9247875754654341,0.0,0.0,0.0,0.0,0.9241170606367006,0.9593951932586051,0.0,1,15,,0.0
4,0.9247875754654341,0.0,0.0,0.0,0.0,0.924117060636701,0.959395193258605,0.0,1,15,,0.0
5,0.924787575465434,0.0,0.0,0.0,0.0,0.924117060636701,0.9593951932586049,0.0,1,15,,0.0
6,0.9247875754654341,0.0,0.0,0.0,0.0,0.924117060636701,0.9593951932586051,0.0,1,15,,0.0
7,0.9247875754654341,0.0,0.0,0.0,0.0,0.924117060636701,0.9593951932586049,0.0,1,15,,0.0
8,0.9247875754654342,0.0,0.0,0.0,0.0,0.924117060636701,0.9593951932586051,0.0,1,15,,0.0
9,0.9247875754654342,0.0,0.0,0.0,0.0,0.924117060636701,0.9593951932586049,0.0,1,15,,0.0
10,0.9247875754654341,0.0,0.0,0.0,0.0,0.9241170606367007,0.9593951932586049,0.0,1,15,,0.0
FINAL,,0.0,0.0,0.0,0.0,0.9241170606367007,0.9593951932586049,0.0,,,,
